Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	Source-Sky_C2	Source_SNR_C2	Peak_C2	Sky/Pixel_C2	N_Sky_Pixels_C2
r_pp_light_00128.fits	0	60224.488376041874	2460224.488376042	NaN	NaN	0	1.308279	NaN	-10.4	40	NaN	NaN	3288060.6344810114	1254.9366698642211	37958	29.417109592508226	3951	376740.39707542694	197.7002328910427	9973	24.92203129007438	3899
r_pp_light_00129.fits	0	60224.488919421565	2460224.4889194216	NaN	NaN	0	1.309195	NaN	-10.4	40	NaN	NaN	3322629.6305618403	1264.696310131064	37111	27.953582240161452	3964	387677.6990498829	203.190490128269	10588	24.07577671129073	3959
r_pp_light_00130.fits	0	60224.489463171456	2460224.4894631715	NaN	NaN	0	1.310135	NaN	-10.4	40	NaN	NaN	3348490.605481905	1272.0648041754048	36015	26.48084147257701	3993	385508.69964436	202.26844969350475	10160	22.738798621368783	4062
r_pp_light_00131.fits	0	60224.490006863605	2460224.4900068636	NaN	NaN	0	1.311078	NaN	-10.4	40	NaN	NaN	3476100.7830415545	1306.9121578091756	34006	27.880152671755724	3930	380973.8110998888	199.9851709621582	9190	24.783028203859477	4042
r_pp_light_00132.fits	0	60224.49055038206	2460224.490550382	NaN	NaN	0	1.312004	NaN	-10.4	40	NaN	NaN	3339066.8344558156	1268.6246414464601	35262	27.965481171548117	3824	387127.468454522	202.9116104548601	9997	24.97373074008588	3959
r_pp_light_00133.fits	0	60224.49109383114	2460224.491093831	NaN	NaN	0	1.312951	NaN	-10.4	40	NaN	NaN	3418310.4097740212	1291.5051387814383	35815	28.92965073074065	4037	385469.48349030653	202.13535582654143	9242	25.320390781563127	3992
r_pp_light_00134.fits	0	60224.49163802108	2460224.491638021	NaN	NaN	0	1.313902	NaN	-10.4	40	NaN	NaN	3429335.6761462498	1294.55285023357	35613	25.924396916190002	4021	388176.2951015266	203.58813975266168	9461	22.834440344403443	4065
r_pp_light_00135.fits	0	60224.49218214117	2460224.492182141	NaN	NaN	0	1.314835	NaN	-10.4	40	NaN	NaN	3034565.758220678	1183.0622530491805	35705	26.11736855220533	4013	393869.07417887216	206.24403577983762	13432	22.874557410217502	3954
r_pp_light_00136.fits	0	60224.49272626173	2460224.4927262617	NaN	NaN	0	1.315791	NaN	-10.4	40	NaN	NaN	3132351.9579885635	1211.0764439309448	37036	28.072663492858933	3991	393196.5067455493	205.9494246717514	12000	24.40250626566416	3990
r_pp_light_00137.fits	0	60224.49326996552	2460224.4932699655	NaN	NaN	0	1.316749	NaN	-10.4	40	NaN	NaN	3132008.4843903007	1211.5888276261774	38089	27.33284918905834	4131	390712.2824219451	204.8444858586876	12351	23.399705376872085	4073
